glycan_id,glycan,species,immunogenicity,inferred_origin,link,genus,family,order,class,phylum,kingdom,domain
4237,GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Homo_sapiens', 'Mus_musculus', 'Ovis_aries', 'Sus_scrofa']",0.0,,,"['Homo', 'Mus', 'Ovis', 'Sus']","['Bovidae', 'Hominidae', 'Muridae', 'Suidae']","['Artiodactyla', 'Primates', 'Rodentia']",['Mammalia'],['Chordata'],['Animalia'],['Eukarya']
4238,ManOMe(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,,,,,,,,
4239,GalNAc(a1-3)GalNAc(b1-3)[Gal(b1-3)GalNAc(b1-4)]Gal(a1-4)Gal(b1-4)Glc,,,Bacteria,,,,,,,,
4240,Kdo(a2-4)[GalA(a1-3)[GalA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)]Kdo,,,Bacteria,,,,,,,,
4241,D-Rha(a1-3)D-Rha(a1-2)D-Rha(a1-3)D-Rha,"['Burkholderia_cepacia', 'Pseudomonas_aeruginosa', 'Pseudomonas_amygdali', 'Pseudomonas_sp', 'Pseudomonas_syringae']",,,,"['Burkholderia', 'Pseudomonas']","['Burkholderiaceae', 'Pseudomonadaceae']","['Burkholderiales', 'Pseudomonadales']","['Betaproteobacteria', 'Gammaproteobacteria']",['Proteobacteria'],['Bacteria'],['Bacteria']
4242,GlcA(b1-3)GalNAcOS(b1-4)GlcA(b1-3)GalNAcOS,,,Bacteria,,,,,,,,
4243,GalNAc(a1-4)Man(a1-2)Man(a1-2)[Glc(a1-3)]Man(b1-3)GalNAc,['Escherichia_coli'],,,,['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4244,Man(a1-2)Man(a1-3)[Man(a1-3)[ManOP(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,,,,,,,,
4245,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAcOS(b1-6)]GalNAc,,,Chordata,,,,,,,,
4246,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAcN,['Phaseolus_vulgaris'],,,,['Phaseolus'],['Fabaceae'],['Fabales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya']
4247,GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Sus_scrofa'],,,N,['Sus'],['Suidae'],['Artiodactyla'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya']
4248,Man(a1-3)[Man(a1-6)]Man(a1-6)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)Man(a1-6)]Man,,,Ascomycota,,,,,,,,
4249,[GlcA(a1-3)]GalA(a1-2)[GlcOMeA(a1-4)GalA(b1-3)[GlcOMeA(a1-4)]Gal(b1-4)]Rha(a1-4)[GlcA(a1-3)]GalA(a1-2)[GlcOMeA(a1-4)Gal(b1-4)]Rha(a1-2)[GlcOMeA(a1-4)Gal(b1-4)]Rha(a1-2)[GlcOMeA(a1-4)Gal(b1-4)]Rha(a1-4)GalA,['Hydrangea_paniculata'],,,,['Hydrangea'],['Hydrangeaceae'],['Cornales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya']
