seqs,preds,method
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-2', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0006469493,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-5']",0.0016500386,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', '2,5-Anhydro-Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0009816946,Mutated-Random
"['RhaOS', 'a1-3', 'Man', '2,5-Anhydro-Man-ol', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.006726377,Mutated-Random
"['1-4', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00026425964,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'b1-4', '1-6', 'b1-4', 'GlcNAc', '1-1', '1-1']",8.757178e-06,Mutated-Random
"['Man', 'a1-3', '1-4', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",9.148175e-05,Mutated-Random
"['Glc', 'b1-2', '2,5-Anhydro-Man', 'a1-3', 'Man', 'b1-4', 'Man', 'b1-3', 'GlcNAc', 'b1-3', 'Glc']",3.213626e-05,Mutated-Random
"['D-FucNAc', 'b1-4', '1-2', 'b1-3', '6dTalOAc', 'a1-3', 'D-FucNAc', '1-1', '1-1', '1-1', '1-1']",2.251701e-05,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1dAlt-ol', '1-1']",2.4541574e-05,Mutated-Random
"['D-FucNAc', 'b1-4', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', '1-4', '1-1', '1-1', '1-1', '1-1']",1.0017026e-05,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-6', '1-1', '1-1', '1-1']",3.583761e-05,Mutated-Random
"['Glc', 'a1-3', 'Glc', '2,5-Anhydro-Man-ol', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",7.348826e-06,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-3', '1-1', '1-1', '1-1']",4.3076736e-05,Mutated-Random
"['2,5-Anhydro-Man-ol', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00029859215,Mutated-Random
"['D-Araf', '1dAlt-ol', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0009323048,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-2', '1-1', '1-1', '1-1', '1-1', '1-1']",3.521277e-05,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-3', '1-4', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",7.122553e-06,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1dEry-ol', '1-1', '1-1']",3.0960593e-05,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-4', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0008136026,Mutated-Random
"['Gal', 'b1-3', '2,5-Anhydro-Man', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.899414e-05,Mutated-Random
"['Glc', 'b1-4', 'Rha', 'a1-2', '1-2', 'a1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'Glc']",5.3813554e-05,Mutated-Random
"['ManOMe', '1-4', 'Man', 'a1-2', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.2155551e-05,Mutated-Random
"['1dAlt-ol', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00026235727,Mutated-Random
"['1-6', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0006333514,Mutated-Random
"['1-1', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00034020605,Mutated-Random
"['Man', '1-4', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",4.0602627e-05,Mutated-Random
"['Man', 'a1-3', 'Man', '1-4', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",4.4099605e-05,Mutated-Random
"['Man', 'b1-4', '1-2', 'a1-3', 'GalOAc', 'a1-6', 'Man', '1-1', '1-1', '1-1', '1-1']",7.28652e-05,Mutated-Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', '1-1', 'Man', '1-1', '1-1', '1-1', '1-1']",5.289143e-06,Mutated-Random
"['Galf', '2,5-Anhydro-Man-ol', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",1.0465227e-05,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-6', '1-3', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",5.787577e-06,Mutated-Random
"['RhaOS', 'a1-3', 'Man', '1dEry-ol', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0036846448,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-2', '1-1']",3.8752e-05,Mutated-Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', '1-2', 'Man', '1-1', '1-1', '1-1', '1-1']",5.7694274e-06,Mutated-Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', '1-4', 'Man', 'a1-2', 'Man']",1.0263814e-05,Mutated-Random
